Objekt;Abschnitt-Nr.;Meldergruppe;Einzelmelder;Kundentext;Anmerkung;Maßnahmentext;Plan-Nr.;Strukturierte Adresse;CAD-ID;Meldergruppentyp
3;;;;BMA Bauteil B u.F,Pavillion,Technikz.;;;0;;;
3;20;;;BMA Bauteil B auto. Melder Haupttrepph.;;;0;;;
3;20;11000;;Bauteil B UG-5.OG Haupttreppenhaus;;;0;;;
3;20;11000;1;;;;0;;;
3;20;11000;2;;;;0;;;
3;20;11000;3;;;;0;;;
3;20;11000;4;;;;0;;;
3;20;11000;5;;;;0;;;
3;20;11000;6;;;;0;;;
3;20;11000;7;;;;0;;;
3;20;11000;8;;;;0;;;
3;20;11000;9;;;;0;;;
3;20;11000;10;;;;0;;;
3;20;11000;11;;;;0;;;
3;21;;;BMA Bauteil F,B und Herzzentrum UG;;;0;;;
3;21;1;;Bauteil F  UG  Flur;;;0;;;
3;21;1;1;;;;0;;;
3;21;1;2;;;;0;;;
3;21;1;3;;;;0;;;
3;21;1;4;;;;0;;;
3;21;1;5;;;;0;;;
3;21;1;6;;;;0;;;
3;21;1;7;;;;0;;;
3;21;1;8;;;;0;;;
3;21;1;9;;;;0;;;
3;21;4;;Bauteil F  UG  Uebergang Altbau 1.TA;;;0;;;
3;21;4;1;;;;0;;;
3;21;4;2;;;;0;;;
3;21;4;3;;;;0;;;
3;21;5;;Bauteil F  UG  Uebergang Altbau 1.TA;;;0;;;
3;21;5;1;;;;0;;;
3;21;5;2;;;;0;;;
3;21;46;;Bauteil B Bereich1 UG Flur/Fahrstuehle;;;0;;;
3;21;46;1;;;;0;;;
3;21;74;;Bauteil B Bereich 1   UG Flur;;;0;;;
3;21;74;1;;;;0;;;
3;21;101;;Bauteil B Bereich 3   UG Flur;;;0;;;
3;21;101;1;;;;0;;;
3;21;152;;Bauteil B Ber.Herzzentr.  UG Technikr.;;;0;;;
3;21;152;1;;;;0;;;
3;21;152;2;;;;0;;;
3;21;153;;Bauteil B Bereich Herzzentr.  UG Flur;;;0;;;
3;21;153;1;;;;0;;;
3;21;153;2;;;;0;;;
3;21;153;3;;;;0;;;
3;21;153;4;;;;0;;;
3;21;179;;Bauteil F  UG Flur U.212 Feuerloeschk.;;;0;;;
3;21;179;1;;;;0;;;
3;21;189;;Bauteil F UG Flur vor Steri-Aufzug;;;0;;;
3;21;189;1;;;;0;;;
3;21;201;;Bauteil F  UG  Flur Zwischend./Raeume;;;0;;;
3;21;201;1;;;;0;;;
3;21;201;2;;;;0;;;
3;21;201;3;;;;0;;;
3;21;201;4;;;;0;;;
3;21;202;;Bauteil F  UG   Flur Zwischendecke;;;0;;;
3;21;202;1;;;;0;;;
3;21;202;2;;;;0;;;
3;21;202;3;;;;0;;;
3;21;202;4;;;;0;;;
3;21;202;5;;;;0;;;
3;21;203;;Bauteil F  UG   Flur Zwischendecke;;;0;;;
3;21;203;1;;;;0;;;
3;21;203;2;;;;0;;;
3;21;203;3;;;;0;;;
3;21;203;4;;;;0;;;
3;21;203;5;;;;0;;;
3;21;203;6;;;;0;;;
3;21;216;;Bauteil B Bereich 3   UG Telefonzentr.;|MLDTYP|1-2|SDF200;;0;;;
3;21;216;1;;;;0;;;
3;21;216;2;;;;0;;;
3;21;216;3;;;;0;;;
3;21;220;;Bauteil F  UG-4.OG Inst.-Steigeschacht;;;0;;;
3;21;220;1;Bauteil F  UG Inst.-Steigeschacht;;;0;;;
3;21;220;2;Bauteil F  EG Inst.-Steigeschacht;;;0;;;
3;21;220;3;Bauteil F  1.OG Inst.-Steigeschacht;;;0;;;
3;21;220;4;Bauteil F  2.OG Inst.-Steigeschacht;;;0;;;
3;21;220;5;Bauteil F  3.OG Inst.-Steigeschacht;;;0;;;
3;21;220;6;Bauteil F 4.OG(DG) Inst.-Steigeschacht;;;0;;;
3;21;271;;Bauteil F  UG Ausgang Treppenhaus 2;;;0;;;
3;21;271;1;Bauteil F  UG Ausgang Treppenhaus 2;;;0;;;
3;21;706;;Bauteil F  UG Technikgang;;;0;;;
3;21;706;1;;;;0;;;
3;21;706;2;;;;0;;;
3;21;706;3;;;;0;;;
3;21;706;4;;;;0;;;
3;21;707;;Bauteil F  UG Vakuum/MED-Gasraum;;;0;;;
3;21;707;1;Bauteil F  UG ZOP MED-Gasraum;;;0;;;
3;21;707;2;Bauteil F  UG ZOP Raum U244b;;;0;;;
3;21;707;3;Bauteil F  UG ZOP Raum U244a;;;0;;;
3;21;707;4;Bauteil F UG ZOP Vakuum/Druckluft;;;0;;;
3;21;708;;Bauteil F  UG  Kaeltetechnik;;;0;;;
3;21;708;1;;;;0;;;
3;21;708;2;;;;0;;;
3;21;708;3;;;;0;;;
3;21;708;4;;;;0;;;
3;21;708;5;;;;0;;;
3;21;708;6;;;;0;;;
3;21;708;7;;;;0;;;
3;21;708;8;;;;0;;;
3;21;709;;Bauteil F  UG Archive;;;0;;;
3;21;709;1;;;;0;;;
3;21;710;;Bauteil F  UG  Kuechengang U.252b;;;0;;;
3;21;710;1;Bauteil F  UG  Kuechengang U.252a;;;0;;;
3;21;710;2;Bauteil F  UG  Kuechengang U.252a ZD;;;0;;;
3;21;710;3;Bauteil F  UG  Kuechengang U.252b;;;0;;;
3;21;710;4;Bauteil F  UG  Kuechengang U.252b ZD;;;0;;;
3;21;710;5;Bauteil F  UG  Kuechengang U.252b;;;0;;;
3;21;710;6;Bauteil F  UG  Kuechengang U.252b ZD;;;0;;;
3;21;710;7;Bauteil F  UG  Kuechengang U.252b;;;0;;;
3;21;710;8;Bauteil F  UG  Kuechengang U.252b ZD;;;0;;;
3;21;710;9;Bauteil F  UG  Kuechengang U.252b;;;0;;;
3;21;710;10;Bauteil F  UG  Kuechengang U.252b ZD;;;0;;;
3;21;710;11;Bauteil F  UG  Kuechengang U.252b;;;0;;;
3;21;710;12;Bauteil F  UG  Kuechengang U.252b ZD;;;0;;;
3;21;710;13;Bauteil F  UG  Kuechengang U.252b;;;0;;;
3;21;711;;Bauteil F UG Flur Kueche U.252c;;;0;;;
3;21;711;1;Bauteil F UG Flur Kueche U.252c;;;0;;;
3;21;711;2;Bauteil F UG Flur Kueche U.252c ZD;;;0;;;
3;21;712;;Bauteil F UG Nuklearm.Flur/Mammo I+II;;;0;;;
3;21;712;1;Bauteil F UG Nuklearm. Mammo. Flur;;;0;;;
3;21;712;2;Bauteil F UG Nuklearm. Mammo I;;;0;;;
3;21;712;3;Bauteil F UG Nuklearm. Mammo II;;;0;;;
3;21;712;4;Bauteil F UG Nuklearm. Mammo Arzt;;;0;;;
3;21;713;;Bauteil F UG Nuklearmed. Mammo Flur ZD;;;0;;;
3;21;713;1;;;;0;;;
3;21;714;;Bauteil F UG Nuklearmed. Flur/Buero's;;;0;;;
3;21;714;1;Bauteil F UG Nuklearmed. Flur;;;0;;;
3;21;714;2;Bauteil F UG Nuklearmed. Buero;;;0;;;
3;21;714;3;Bauteil F UG Nuklearmed. Buero;;;0;;;
3;21;714;4;Bauteil F UG Nuklearmed. Buero;;;0;;;
3;21;715;;Bauteil F UG Nuklearmed. Buero Flur ZD;;;0;;;
3;21;715;1;;;;0;;;
3;21;716;;Bauteil F UG Nuklearmed.Technik ZSV-HK;;;0;;;
3;21;716;1;;;;0;;;
3;21;718;;Bauteil F UG Nuklearm. Demoraum/HBD;;;0;;;
3;21;718;1;Bauteil F UG Nuklearm. Demoraum;;;0;;;
3;21;718;2;Bauteil F UG Nuklearm. HBD;;;0;;;
3;21;719;;Bauteil B  UG  Phys. Therapie Flur;;;0;;;
3;21;719;1;;;;0;;;
3;21;719;2;;;;0;;;
3;21;719;3;;;;0;;;
3;21;719;4;;;;0;;;
3;21;719;5;;;;0;;;
3;21;720;;Bauteil B  UG  Phys. Therapie Flur ZD;;;0;;;
3;21;720;1;;;;0;;;
3;21;720;2;;;;0;;;
3;21;720;3;;;;0;;;
3;21;720;4;;;;0;;;
3;21;720;5;;;;0;;;
3;21;721;;Bauteil B  UG  Phys. Therapie Flur;;;0;;;
3;21;721;1;;;;0;;;
3;21;721;2;;;;0;;;
3;21;722;;Bauteil B  UG  Phys. Therapie Flur ZD;;;0;;;
3;21;722;1;;;;0;;;
3;21;722;2;;;;0;;;
3;21;723;;Bauteil B  UG  Phys. Therapie Technik;;;0;;;
3;21;723;1;;;;0;;;
3;21;723;2;;;;0;;;
3;21;723;3;Bauteil B  UG  Phys. ELT/Batterieraum;;;0;;;
3;21;723;4;Bauteil B  UG  Phys. Raumlufttechnik;;;0;;;
3;21;723;5;Bauteil B  UG  Phys. Raumlufttechnik;;;0;;;
3;21;723;6;Bauteil B  UG  Phys.Trinkwasser - Erw.;;;0;;;
3;21;723;7;Bauteil B  UG  Phys. Flur Technik;;;0;;;
3;21;724;;Bauteil F UG ZOP Flur/Schleusen;;;0;;;
3;21;724;1;Bauteil F UG ZOP Flur/Rein. U-240f;;;0;;;
3;21;724;2;Bauteil F UG ZOP H-Schleuse U-240c;;;0;;;
3;21;724;3;Bauteil F UG ZOP H-Schleuse U-240d;;;0;;;
3;21;724;4;Bauteil F UG ZOP Umkleide Herren U-240;;;0;;;
3;21;725;;Bauteil F UG ZOP Archiv/Lager;;;0;;;
3;21;725;1;Bauteil F UG ZOP Lager U-242c;;;0;;;
3;21;725;2;Bauteil F UG ZOP Vorraum WC U-242c;;;0;;;
3;21;725;3;Bauteil F UG ZOP Hebeanlage U-242d;;;0;;;
3;21;725;4;Bauteil F UG ZOP Lager OP1 U-242;;;0;;;
3;21;725;5;Bauteil F UG ZOP Lager OP1 U-242;;;0;;;
3;21;726;;Bauteil F UG ZOP Flur U-247a;;;0;;;
3;21;726;1;;;;0;;;
3;21;726;2;;;;0;;;
3;21;727;;Bauteil F UG ZOP Flur U-247a  ZD;;;0;;;
3;21;727;1;;;;0;;;
3;21;727;2;;;;0;;;
3;21;728;;Bauteil F UG ZOP Schleuse/Umkle. Damen;;;0;;;
3;21;728;1;Bauteil F UG ZOP Umkleide Damen U-240h;;;0;;;
3;21;728;2;Bauteil F UG ZOP Schleuse Damen U-240i;;;0;;;
3;21;728;3;Bauteil F UG ZOP Schleuse Damen U-240g;;;0;;;
3;21;729;;Bauteil F UG ZOP Archiv 3  U241;;;0;;;
3;21;729;1;;;;0;;;
3;21;730;;Bauteil F UG MRT 1/2 Flur;;;0;;;
3;21;730;1;;;;0;;;
3;21;730;2;;;;0;;;
3;21;731;;Bauteil F UG MRT 1/2 Flur ZWD;;;0;;;
3;21;731;1;;;;0;;;
3;21;731;2;;;;0;;;
3;21;732;;Bauteil F UG MRT 1/2 Technikraum;;;0;;;
3;21;732;1;;;;0;;;
3;21;733;;Bauteil F UG Demoraum;;;0;;;
3;21;733;1;;;;0;;;
3;21;734;;Bauteil F UG MRT 1/2 Technikraum;;;0;;;
3;21;734;1;;;;0;;;
3;21;735;;Bauteil F UG MRT 1/2 Gang/Schaltr.1+2;;;0;;;
3;21;735;1;;;;0;;;
3;21;735;2;;;;0;;;
3;21;735;3;;;;0;;;
3;21;735;4;;;;0;;;
3;21;735;5;;;;0;;;
3;21;735;6;;;;0;;;
3;21;735;7;;;;0;;;
3;21;736;;Bauteil F UG MRT 1/2 Roentgen/Warter.;;;0;;;
3;21;736;1;;;;0;;;
3;21;736;2;;;;0;;;
3;21;736;3;;;;0;;;
3;21;736;4;;;;0;;;
3;21;736;5;;;;0;;;
3;21;737;;Bauteil F UG MRT 1/2 Anaesthesieeinl.;;;0;;;
3;21;737;1;;;;0;;;
3;21;738;;Bauteil F UG MRT 1/2 Aufenthaltr/Buero;;;0;;;
3;21;738;1;;;;0;;;
3;21;738;2;;;;0;;;
3;21;738;3;;;;0;;;
3;21;739;;Bauteil F UG MRT 1/2 Flur ZWD;;;0;;;
3;21;739;1;;;;0;;;
3;21;740;;Bauteil F UG MRT 1/2 Perso. Umkleide;;;0;;;
3;21;740;1;;;;0;;;
3;21;740;2;;;;0;;;
3;21;748;;Bauteil F UG MRT 1/2 RAS Zwischendecke;;;0;;;
3;21;748;1;;;;0;;;
3;21;748;2;;;;0;;;
3;21;748;3;;;;0;;;
3;21;748;4;;;;0;;;
3;21;748;1;Ausgang 'Quittieren';;;0;;;
3;21;748;2;Ausgang 'Rückstellen';;;0;;;
3;21;749;;Bauteil F UG  MRT 1/2 RAS Decke;;;0;;;
3;21;749;1;;;;0;;;
3;21;749;2;;;;0;;;
3;21;749;3;;;;0;;;
3;21;749;4;;;;0;;;
3;21;749;1;Ausgang 'Quittieren';;;0;;;
3;21;749;2;Ausgang 'Rückstellen';;;0;;;
3;21;810;;Bauteil F  UG SV-G - Hauptverteilung;;;0;;;
3;21;810;1;;;;0;;;
3;21;811;;Bauteil F UG SV-G - Hauptverteilung DB;;;0;;;
3;21;811;1;;;;0;;;
3;21;812;;Bauteil F  UG   G-Hauptverteilung;;;0;;;
3;21;812;1;;;;0;;;
3;21;812;2;;;;0;;;
3;21;813;;Bauteil F  UG   G-Hauptverteilung DB;;;0;;;
3;21;813;1;;;;0;;;
3;21;813;2;;;;0;;;
